benchmark_name,benchmark_cmd,target_cpu,runs,counter_value,counter_value_unit,event_name,variance_between_runs,run_time_of_counter,percentage_of_time_counter_was_running,metric_value,unit_of_metric
tealeaf_3d_omp3,./tealeaf_omp3,3,10,40065087019,,instructions,0.00%,11312256082,100.00,1.73,insn per cycle
tealeaf_3d_omp3,./tealeaf_omp3,4,10,10560306832,,cycles,0.09%,3574137152,100.00,,
tealeaf_3d_omp3,./tealeaf_omp3,4,10,40065076388,,instructions,0.00%,3574136944,100.00,3.78,insn per cycle
tealeaf_3d_omp3,./tealeaf_omp3,5,10,10545500191,,cycles,1.09%,3567693028,100.00,,
tealeaf_3d_omp3,./tealeaf_omp3,5,10,40065076787,,instructions,0.00%,3567692570,100.00,3.71,insn per cycle
tealeaf_3d_omp3,./tealeaf_omp3,6,10,10597698931,,cycles,0.55%,3585798278,100.00,,
tealeaf_3d_omp3,./tealeaf_omp3,6,10,40065077038,,instructions,0.00%,3585797570,100.00,3.75,insn per cycle
tealeaf_3d_omp3,./tealeaf_omp3,7,10,10706886951,,cycles,0.13%,3623242570,100.00,,
tealeaf_3d_omp3,./tealeaf_omp3,7,10,40065076582,,instructions,0.00%,3623242278,100.00,3.77,insn per cycle
SRTEAM_serial,/home/tomhepworth/simeng-benchmarks/src/STREAM/stream_c_serial.o,0,10,3996120,,cycles,0.17%,2124500,100.00,,
SRTEAM_serial,/home/tomhepworth/simeng-benchmarks/src/STREAM/stream_c_serial.o,0,10,12427656,,instructions,0.00%,2124375,100.00,3.10,insn per cycle
SRTEAM_serial,/home/tomhepworth/simeng-benchmarks/src/STREAM/stream_c_serial.o,1,10,3998753,,cycles,0.13%,2140458,100.00,,
SRTEAM_serial,/home/tomhepworth/simeng-benchmarks/src/STREAM/stream_c_serial.o,1,10,12429415,,instructions,0.00%,2140291,100.00,3.10,insn per cycle
SRTEAM_serial,/home/tomhepworth/simeng-benchmarks/src/STREAM/stream_c_serial.o,2,10,4000718,,cycles,0.14%,2141376,100.00,,
SRTEAM_serial,/home/tomhepworth/simeng-benchmarks/src/STREAM/stream_c_serial.o,2,10,12430176,,instructions,0.00%,2141250,100.00,3.10,insn per cycle
SRTEAM_serial,/home/tomhepworth/simeng-benchmarks/src/STREAM/stream_c_serial.o,3,10,3999204,,cycles,0.12%,2141041,100.00,,
SRTEAM_serial,/home/tomhepworth/simeng-benchmarks/src/STREAM/stream_c_serial.o,3,10,12428618,,instructions,0.00%,2140875,100.00,3.10,insn per cycle
SRTEAM_serial,/home/tomhepworth/simeng-benchmarks/src/STREAM/stream_c_serial.o,4,10,2681728,,cycles,0.14%,980541,100.00,,
SRTEAM_serial,/home/tomhepworth/simeng-benchmarks/src/STREAM/stream_c_serial.o,4,10,12467174,,instructions,0.04%,980375,100.00,4.65,insn per cycle
SRTEAM_serial,/home/tomhepworth/simeng-benchmarks/src/STREAM/stream_c_serial.o,5,10,2677172,,cycles,0.11%,977917,100.00,,
SRTEAM_serial,/home/tomhepworth/simeng-benchmarks/src/STREAM/stream_c_serial.o,5,10,12464629,,instructions,0.04%,977792,100.00,4.66,insn per cycle
SRTEAM_serial,/home/tomhepworth/simeng-benchmarks/src/STREAM/stream_c_serial.o,6,10,2681364,,cycles,0.11%,980751,100.00,,
SRTEAM_serial,/home/tomhepworth/simeng-benchmarks/src/STREAM/stream_c_serial.o,6,10,12465615,,instructions,0.04%,980667,100.00,4.66,insn per cycle
SRTEAM_serial,/home/tomhepworth/simeng-benchmarks/src/STREAM/stream_c_serial.o,7,10,2680526,,cycles,0.16%,979751,100.00,,
SRTEAM_serial,/home/tomhepworth/simeng-benchmarks/src/STREAM/stream_c_serial.o,7,10,12468502,,instructions,0.04%,979667,100.00,4.67,insn per cycle
SRTEAM_openmp,/home/tomhepworth/simeng-benchmarks/src/STREAM/stream_c_openmp.o,0,10,5822565,,cycles,0.21%,3761417,100.00,,
SRTEAM_openmp,/home/tomhepworth/simeng-benchmarks/src/STREAM/stream_c_openmp.o,0,10,17173535,,instructions,0.00%,3761250,100.00,2.95,insn per cycle
SRTEAM_openmp,/home/tomhepworth/simeng-benchmarks/src/STREAM/stream_c_openmp.o,1,10,5808501,,cycles,0.16%,3727124,100.00,,
SRTEAM_openmp,/home/tomhepworth/simeng-benchmarks/src/STREAM/stream_c_openmp.o,1,10,17171202,,instructions,0.00%,3727000,100.00,2.95,insn per cycle
SRTEAM_openmp,/home/tomhepworth/simeng-benchmarks/src/STREAM/stream_c_openmp.o,2,10,5808598,,cycles,0.21%,3745501,100.00,,
SRTEAM_openmp,/home/tomhepworth/simeng-benchmarks/src/STREAM/stream_c_openmp.o,2,10,17167073,,instructions,0.00%,3745334,100.00,2.95,insn per cycle
SRTEAM_openmp,/home/tomhepworth/simeng-benchmarks/src/STREAM/stream_c_openmp.o,3,10,5805407,,cycles,0.18%,3735334,100.00,,
SRTEAM_openmp,/home/tomhepworth/simeng-benchmarks/src/STREAM/stream_c_openmp.o,3,10,17171028,,instructions,0.00%,3735208,100.00,2.95,insn per cycle
SRTEAM_openmp,/home/tomhepworth/simeng-benchmarks/src/STREAM/stream_c_openmp.o,4,10,3835501,,cycles,0.12%,1844666,100.00,,
SRTEAM_openmp,/home/tomhepworth/simeng-benchmarks/src/STREAM/stream_c_openmp.o,4,10,17199151,,instructions,0.02%,1844583,100.00,4.48,insn per cycle
SRTEAM_openmp,/home/tomhepworth/simeng-benchmarks/src/STREAM/stream_c_openmp.o,5,10,3835603,,cycles,0.11%,1849125,100.00,,
SRTEAM_openmp,/home/tomhepworth/simeng-benchmarks/src/STREAM/stream_c_openmp.o,5,10,17206329,,instructions,0.03%,1849084,100.00,4.49,insn per cycle
SRTEAM_openmp,/home/tomhepworth/simeng-benchmarks/src/STREAM/stream_c_openmp.o,6,10,3793751,,cycles,0.25%,2630751,100.00,,
SRTEAM_openmp,/home/tomhepworth/simeng-benchmarks/src/STREAM/stream_c_openmp.o,6,10,17166661,,instructions,0.04%,2630375,100.00,4.49,insn per cycle
SRTEAM_openmp,/home/tomhepworth/simeng-benchmarks/src/STREAM/stream_c_openmp.o,7,10,3796480,,cycles,0.26%,2551625,100.00,,
SRTEAM_openmp,/home/tomhepworth/simeng-benchmarks/src/STREAM/stream_c_openmp.o,7,10,17167580,,instructions,0.03%,2551250,100.00,4.49,insn per cycle
cloverleaf_openmp,/home/tomhepworth/simeng-benchmarks/src/CloverLeaf/openmp/clover_leaf,0,10,7905518,,cycles,0.66%,6507834,100.00,,
cloverleaf_openmp,/home/tomhepworth/simeng-benchmarks/src/CloverLeaf/openmp/clover_leaf,0,10,17068710,,instructions,0.08%,6507583,100.00,2.15,insn per cycle
cloverleaf_openmp,/home/tomhepworth/simeng-benchmarks/src/CloverLeaf/openmp/clover_leaf,1,10,7845544,,cycles,0.49%,6494709,100.00,,
cloverleaf_openmp,/home/tomhepworth/simeng-benchmarks/src/CloverLeaf/openmp/clover_leaf,1,10,17061973,,instructions,0.01%,6494459,100.00,2.16,insn per cycle
cloverleaf_openmp,/home/tomhepworth/simeng-benchmarks/src/CloverLeaf/openmp/clover_leaf,2,10,7873738,,cycles,0.40%,6509458,100.00,,
cloverleaf_openmp,/home/tomhepworth/simeng-benchmarks/src/CloverLeaf/openmp/clover_leaf,2,10,17076902,,instructions,0.01%,6509250,100.00,2.17,insn per cycle
cloverleaf_openmp,/home/tomhepworth/simeng-benchmarks/src/CloverLeaf/openmp/clover_leaf,3,10,7871895,,cycles,0.43%,6500291,100.00,,
cloverleaf_openmp,/home/tomhepworth/simeng-benchmarks/src/CloverLeaf/openmp/clover_leaf,3,10,17069976,,instructions,0.03%,6500083,100.00,2.16,insn per cycle
cloverleaf_openmp,/home/tomhepworth/simeng-benchmarks/src/CloverLeaf/openmp/clover_leaf,4,10,4932468,,cycles,0.24%,3460625,100.00,,
cloverleaf_openmp,/home/tomhepworth/simeng-benchmarks/src/CloverLeaf/openmp/clover_leaf,4,10,17071643,,instructions,0.02%,3460500,100.00,3.44,insn per cycle
cloverleaf_openmp,/home/tomhepworth/simeng-benchmarks/src/CloverLeaf/openmp/clover_leaf,5,10,4924364,,cycles,0.19%,3458958,100.00,,
cloverleaf_openmp,/home/tomhepworth/simeng-benchmarks/src/CloverLeaf/openmp/clover_leaf,5,10,17078046,,instructions,0.03%,3458958,100.00,3.45,insn per cycle
cloverleaf_openmp,/home/tomhepworth/simeng-benchmarks/src/CloverLeaf/openmp/clover_leaf,6,10,4940005,,cycles,0.17%,3471500,100.00,,
cloverleaf_openmp,/home/tomhepworth/simeng-benchmarks/src/CloverLeaf/openmp/clover_leaf,6,10,17078548,,instructions,0.03%,3471417,100.00,3.45,insn per cycle
cloverleaf_openmp,/home/tomhepworth/simeng-benchmarks/src/CloverLeaf/openmp/clover_leaf,7,10,4927259,,cycles,0.17%,3453042,100.00,,
cloverleaf_openmp,/home/tomhepworth/simeng-benchmarks/src/CloverLeaf/openmp/clover_leaf,7,10,17080325,,instructions,0.03%,3452958,100.00,3.45,insn per cycle
cloverleaf_serial,/home/tomhepworth/simeng-benchmarks/src/CloverLeaf/serial/clover_leaf,0,10,5207483,,cycles,0.52%,3388083,100.00,,
cloverleaf_serial,/home/tomhepworth/simeng-benchmarks/src/CloverLeaf/serial/clover_leaf,0,10,13191704,,instructions,0.01%,3387875,100.00,2.52,insn per cycle
cloverleaf_serial,/home/tomhepworth/simeng-benchmarks/src/CloverLeaf/serial/clover_leaf,1,10,5196931,,cycles,0.51%,3414375,100.00,,
cloverleaf_serial,/home/tomhepworth/simeng-benchmarks/src/CloverLeaf/serial/clover_leaf,1,10,13183894,,instructions,0.01%,3414250,100.00,2.52,insn per cycle
cloverleaf_serial,/home/tomhepworth/simeng-benchmarks/src/CloverLeaf/serial/clover_leaf,2,10,5189716,,cycles,0.50%,3384708,100.00,,
cloverleaf_serial,/home/tomhepworth/simeng-benchmarks/src/CloverLeaf/serial/clover_leaf,2,10,13192245,,instructions,0.01%,3384250,100.00,2.53,insn per cycle
cloverleaf_serial,/home/tomhepworth/simeng-benchmarks/src/CloverLeaf/serial/clover_leaf,3,10,5176135,,cycles,0.48%,3392708,100.00,,
cloverleaf_serial,/home/tomhepworth/simeng-benchmarks/src/CloverLeaf/serial/clover_leaf,3,10,13186815,,instructions,0.01%,3392500,100.00,2.53,insn per cycle
cloverleaf_serial,/home/tomhepworth/simeng-benchmarks/src/CloverLeaf/serial/clover_leaf,4,10,2971549,,cycles,0.34%,1436125,100.00,,
cloverleaf_serial,/home/tomhepworth/simeng-benchmarks/src/CloverLeaf/serial/clover_leaf,4,10,13196599,,instructions,0.02%,1436000,100.00,4.41,insn per cycle
cloverleaf_serial,/home/tomhepworth/simeng-benchmarks/src/CloverLeaf/serial/clover_leaf,5,10,2971965,,cycles,0.37%,1412126,100.00,,
cloverleaf_serial,/home/tomhepworth/simeng-benchmarks/src/CloverLeaf/serial/clover_leaf,5,10,13198860,,instructions,0.01%,1412084,100.00,4.41,insn per cycle
cloverleaf_serial,/home/tomhepworth/simeng-benchmarks/src/CloverLeaf/serial/clover_leaf,6,10,2970504,,cycles,0.35%,1424375,100.00,,
cloverleaf_serial,/home/tomhepworth/simeng-benchmarks/src/CloverLeaf/serial/clover_leaf,6,10,13202402,,instructions,0.03%,1424208,100.00,4.41,insn per cycle
cloverleaf_serial,/home/tomhepworth/simeng-benchmarks/src/CloverLeaf/serial/clover_leaf,7,10,2975391,,cycles,0.33%,1404417,100.00,,
cloverleaf_serial,/home/tomhepworth/simeng-benchmarks/src/CloverLeaf/serial/clover_leaf,7,10,13195410,,instructions,0.02%,1404333,100.00,4.41,insn per cycle
